mol_fraction,surface_tension
-0.000325058, 73.1844
0.00565271, 56.6480
0.0161570, 45.3631
0.0330909, 36.0894
0.0516479, 30.6704
0.0701013, 27.8771
0.115131, 26.3687
0.229361, 25.6425
0.413411, 24.9721
0.540045, 24.8045
0.619346, 24.5251
0.733558, 24.2458
0.854281, 23.9106
0.942458, 23.6313
1.00165, 23.1285

