mol_fraction,surface_tension
0.00212004, 73.6872
0.00717221, 63.1285
0.0198495, 56.7598
0.0414598, 48.9385
0.0641632, 43.4078
0.0891783, 39.2737
0.145033, 33.3520
0.279520, 29.1061
0.474883, 26.6480
0.598592, 25.6425
0.681456, 25.0279
0.782668, 24.3017
0.874415, 23.5196
0.935384, 22.9609
0.999905, 22.3464
