mol_fraction,surface_tension
0.0, 73.6872
0.0111203, 68.0447
0.0308805, 62.1229
0.0607087, 55.9777
0.0916697, 51.1173
0.131491, 46.6480
0.211023, 40.5028
0.342000, 35.2514
0.565334, 28.7151
0.692637, 26.5922
0.761919, 25.3073
0.832929, 25.1955
0.916997, 24.0782
0.961996, 23.3520
1.00, 22.6816
